19:26:12 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof-rsdz/mcmc_result/1/dim0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
19:26:14 [ultranest] [INFO] Sampling 1200 live points from prior ...
19:26:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
19:26:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1200, cluster_num_live_points=40
19:26:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1200.0), (inf, 1200.0)]
19:26:21 [ultranest] [DEBUG] iteration=0, ncalls=1201, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-36100.85, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=16, ncalls=1217, regioncalls=680, ndraw=40, logz=-12626.58, remainder_fraction=100.0000%, Lmin=-12127.89, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=32, ncalls=1233, regioncalls=1320, ndraw=40, logz=-7189.86, remainder_fraction=100.0000%, Lmin=-7059.85, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=47, ncalls=1248, regioncalls=1920, ndraw=40, logz=-4053.38, remainder_fraction=100.0000%, Lmin=-3097.94, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=63, ncalls=1264, regioncalls=2560, ndraw=40, logz=-1718.24, remainder_fraction=100.0000%, Lmin=-1638.61, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=83, ncalls=1287, regioncalls=3480, ndraw=40, logz=-846.98, remainder_fraction=100.0000%, Lmin=-838.77, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=101, ncalls=1305, regioncalls=4200, ndraw=40, logz=-446.24, remainder_fraction=100.0000%, Lmin=-420.68, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=108, ncalls=1312, regioncalls=4480, ndraw=40, logz=-400.89, remainder_fraction=100.0000%, Lmin=-392.39, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=113, ncalls=1318, regioncalls=4720, ndraw=40, logz=-371.03, remainder_fraction=100.0000%, Lmin=-356.25, Lmax=-29.82
19:26:21 [ultranest] [DEBUG] iteration=120, ncalls=1326, regioncalls=5040, ndraw=40, logz=-336.15, remainder_fraction=100.0000%, Lmin=-328.19, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=137, ncalls=1344, regioncalls=5760, ndraw=40, logz=-259.01, remainder_fraction=100.0000%, Lmin=-246.72, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=152, ncalls=1359, regioncalls=6360, ndraw=40, logz=-201.79, remainder_fraction=100.0000%, Lmin=-192.64, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=162, ncalls=1374, regioncalls=6960, ndraw=40, logz=-171.81, remainder_fraction=100.0000%, Lmin=-163.75, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=168, ncalls=1380, regioncalls=7200, ndraw=40, logz=-154.37, remainder_fraction=100.0000%, Lmin=-142.47, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=175, ncalls=1390, regioncalls=7600, ndraw=40, logz=-143.95, remainder_fraction=100.0000%, Lmin=-134.24, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=179, ncalls=1394, regioncalls=7760, ndraw=40, logz=-138.61, remainder_fraction=100.0000%, Lmin=-129.76, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=183, ncalls=1398, regioncalls=7920, ndraw=40, logz=-135.43, remainder_fraction=100.0000%, Lmin=-129.07, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=194, ncalls=1410, regioncalls=8400, ndraw=40, logz=-131.18, remainder_fraction=100.0000%, Lmin=-124.45, Lmax=-29.82
19:26:22 [ultranest] [DEBUG] iteration=208, ncalls=1427, regioncalls=9080, ndraw=40, logz=-127.86, remainder_fraction=100.0000%, Lmin=-122.44, Lmax=-29.82
