21:13:07 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof-rsdz/mcmc_result/2/dim0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
21:13:07 [ultranest] [INFO] Sampling 400 live points from prior ...
21:13:08 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
21:13:08 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
21:13:08 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
21:13:09 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-390.27, Lmax=-0.97
21:13:09 [ultranest] [DEBUG] iteration=17, ncalls=419, regioncalls=760, ndraw=40, logz=-48.29, remainder_fraction=100.0000%, Lmin=-40.25, Lmax=-0.97
21:13:09 [ultranest] [DEBUG] iteration=40, ncalls=443, regioncalls=1720, ndraw=40, logz=-9.93, remainder_fraction=99.8937%, Lmin=-5.09, Lmax=-0.50
21:13:09 [ultranest] [DEBUG] iteration=41, ncalls=444, regioncalls=1760, ndraw=40, logz=-9.68, remainder_fraction=99.8634%, Lmin=-4.55, Lmax=-0.50
21:13:09 [ultranest] [DEBUG] iteration=42, ncalls=445, regioncalls=1800, ndraw=40, logz=-9.35, remainder_fraction=99.8114%, Lmin=-4.42, Lmax=-0.50
21:13:09 [ultranest] [DEBUG] iteration=43, ncalls=447, regioncalls=1880, ndraw=40, logz=-9.08, remainder_fraction=99.7527%, Lmin=-4.08, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=45, ncalls=449, regioncalls=1960, ndraw=40, logz=-8.56, remainder_fraction=99.5840%, Lmin=-3.91, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=46, ncalls=451, regioncalls=2040, ndraw=40, logz=-8.35, remainder_fraction=99.4862%, Lmin=-3.89, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=47, ncalls=452, regioncalls=2080, ndraw=40, logz=-8.18, remainder_fraction=99.3873%, Lmin=-3.85, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=67, ncalls=475, regioncalls=3000, ndraw=40, logz=-6.30, remainder_fraction=95.9968%, Lmin=-3.08, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=69, ncalls=479, regioncalls=3160, ndraw=40, logz=-6.20, remainder_fraction=95.5693%, Lmin=-3.05, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=72, ncalls=482, regioncalls=3280, ndraw=40, logz=-6.06, remainder_fraction=94.9189%, Lmin=-3.04, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=75, ncalls=485, regioncalls=3400, ndraw=40, logz=-5.94, remainder_fraction=94.2601%, Lmin=-3.02, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=78, ncalls=488, regioncalls=3520, ndraw=40, logz=-5.83, remainder_fraction=93.5947%, Lmin=-3.01, Lmax=-0.50
21:13:10 [ultranest] [DEBUG] iteration=80, ncalls=490, regioncalls=3600, ndraw=40, logz=-5.76, remainder_fraction=93.1509%, Lmin=-3.01, Lmax=-0.50
21:13:11 [ultranest] [DEBUG] iteration=82, ncalls=492, regioncalls=3680, ndraw=40, logz=-5.70, remainder_fraction=92.7083%, Lmin=-3.01, Lmax=-0.50
21:13:11 [ultranest] [DEBUG] iteration=84, ncalls=495, regioncalls=3800, ndraw=40, logz=-5.64, remainder_fraction=92.2677%, Lmin=-3.01, Lmax=-0.50
21:13:11 [ultranest] [DEBUG] iteration=90, ncalls=503, regioncalls=4120, ndraw=40, logz=-5.49, remainder_fraction=90.9566%, Lmin=-3.01, Lmax=-0.50
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
21:13:11 [ultranest] [DEBUG] Plateau detected at L=-3.004866e+00, not replacing live point.
